Год,Группа,Курс,ФИО,Предмет,Дата,Оценка
2019,9ВТба-1,5,Иванов Иван Иванович,Математика,2023-01-01,4
2019,9ВТба-1,5,Иванов Иван Иванович,Физика,2023-01-01,5
2019,9ВТба-1,5,Петров Петр Петрович,Математика,2023-01-01,3
2019,9ВТба-1,5,Петров Петр Петрович,Физика,2023-01-01,4
2019,9ВТба-1,5,Сидорова Анна Ивановна,Математика,2023-01-01,5
2019,9ВТба-1,5,Сидорова Анна Ивановна,Физика,2023-01-01,4
2019,9ВТба-1,5,Козлов Михаил Сергеевич,Математика,2023-01-01,3
2019,9ВТба-1,5,Козлов Михаил Сергеевич,Физика,2023-01-01,4
2019,9ВТба-1,5,Королева Ольга Александровна,Математика,2023-01-01,5
2019,9ВТба-1,5,Королева Ольга Александровна,Физика,2023-01-01,4
2019,9ВТба-1,5,Горбачев Артем Витальевич,Математика,2023-01-01,4
2019,9ВТба-1,5,Горбачев Артем Витальевич,Физика,2023-01-01,5
2019,9ВТба-1,5,Кузнецова Татьяна Дмитриевна,Математика,2023-01-01,5
2019,9ВТба-1,5,Кузнецова Татьяна Дмитриевна,Физика,2023-01-01,4
2019,9ВТба-1,5,Иванов Иван Иванович,Информатика,2023-01-01,4
2019,9ВТба-1,5,Петров Петр Петрович,Информатика,2023-01-01,3
2019,9ВТба-1,5,Сидорова Анна Ивановна,Информатика,2023-01-01,5
2019,9ВТба-1,5,Козлов Михаил Сергеевич,Информатика,2023-01-01,4
2019,9ВТба-1,5,Королева Ольга Александровна,Информатика,2023-01-01,5
2019,9ВТба-1,5,Горбачев Артем Витальевич,Информатика,2023-01-01,4
2019,9ВТба-1,5,Кузнецова Татьяна Дмитриевна,Информатика,2023-01-01,3
2019,9ВТба-1,5,Смирнов Сергей Петрович,Математика,2023-01-01,4
2019,9ВТба-1,5,Смирнов Сергей Петрович,Физика,2023-01-01,3
2019,9ВТба-1,5,Смирнов Сергей Петрович,Информатика,2023-01-01,5
2019,9ВТба-1,5,Михайлова Елена Дмитриевна,Математика,2023-01-01,5
2019,9ВТба-1,5,Михайлова Елена Дмитриевна,Физика,2023-01-01,4
2019,9ВТба-1,5,Михайлова Елена Дмитриевна,Информатика,2023-01-01,5
2019,9ВТба-1,5,Козлова Анна Сергеевна,Математика,2023-01-01,4
2019,9ВТба-1,5,Козлова Анна Сергеевна,Физика,2023-01-01,5
2019,9ВТба-1,5,Козлова Анна Сергеевна,Информатика,2023-01-01,3
2019,9ВТба-1,5,Павлов Алексей Игоревич,Математика,2023-01-01,3
2019,9ВТба-1,5,Павлов Алексей Игоревич,Физика,2023-01-01,4
2019,9ВТба-1,5,Павлов Алексей Игоревич,Информатика,2023-01-01,4
2019,9ВТба-1,5,Андреев Дмитрий Александрович,Математика,2023-01-01,4
2019,9ВТба-1,5,Андреев Дмитрий Александрович,Физика,2023-01-01,5
2019,9ВТба-1,5,Андреев Дмитрий Александрович,Информатика,2023-01-01,5
2019,9ВТба-1,5,Ковалев Артем Владимирович,Математика,2023-01-01,4
2019,9ВТба-1,5,Ковалев Артем Владимирович,Физика,2023-01-01,3
2019,9ВТба-1,5,Ковалев Артем Владимирович,Информатика,2023-01-01,5
2019,9ВТба-1,5,Григорьев Виктор Валентинович,Математика,2023-01-01,4
2019,9ВТба-1,5,Григорьев Виктор Валентинович,Физика,2023-01-01,3
2019,9ВТба-1,5,Григорьев Виктор Валентинович,Информатика,2023-01-01,4
2019,9ВТба-1,5,Титова Екатерина Андреевна,Математика,2023-01-01,5
2019,9ВТба-1,5,Титова Екатерина Андреевна,Физика,2023-01-01,4
2019,9ВТба-1,5,Титова Екатерина Андреевна,Информатика,2023-01-01,5
2019,9ВТба-1,5,Морозов Максим Александрович,Математика,2023-01-01,5
2019,9ВТба-1,5,Морозов Максим Александрович,Физика,2023-01-01,4
2019,9ВТба-1,5,Морозов Максим Александрович,Информатика,2023-01-01,5
2019,9ВТба-1,5,Павлова Екатерина Сергеевна,Математика,2023-01-01,4
2019,9ВТба-1,5,Павлова Екатерина Сергеевна,Физика,2023-01-01,3
2019,9ВТба-1,5,Павлова Екатерина Сергеевна,Информатика,2023-01-01,5
2019,9ВТба-1,5,Лебедев Андрей Павлович,Математика,2023-01-01,4
2019,9ВТба-1,5,Лебедев Андрей Павлович,Физика,2023-01-01,5
2019,9ВТба-1,5,Лебедев Андрей Павлович,Информатика,2023-01-01,5
2019,9ВТба-1,5,Александрова Ирина Алексеевна,Математика,2023-01-01,4
2019,9ВТба-1,5,Александрова Ирина Алексеевна,Физика,2023-01-01,3
